PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,avg_ppg,player_game_count,player_game_percentage
201935,James Harden,1610612745,HOU,Houston Rockets,34.3,68,0.9444444444444444
203078,Bradley Beal,1610612764,WAS,Washington Wizards,30.5,57,0.7916666666666666
203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,30.0,66,0.8918918918918919
1629027,Trae Young,1610612737,ATL,Atlanta Hawks,29.6,60,0.8955223880597015
203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,29.5,63,0.863013698630137
1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,28.8,61,0.8133333333333334
202695,Kawhi Leonard,1610612746,LAC,LA Clippers,27.1,57,0.7916666666666666
1626164,Devin Booker,1610612756,PHX,Phoenix Suns,26.6,70,0.958904109589041
1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,26.5,35,0.546875
203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,26.1,62,0.8732394366197183
203897,Zach LaVine,1610612741,CHI,Chicago Bulls,25.5,60,0.9230769230769231
1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,24.0,69,0.9583333333333334
1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,23.8,62,0.8611111111111112
1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,23.4,66,0.9166666666666666
203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,23.0,51,0.6986301369863014
1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,22.8,60,0.8333333333333334
201942,DeMar DeRozan,1610612759,SAS,San Antonio Spurs,22.1,68,0.9577464788732394
203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,21.8,54,0.8307692307692308
1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,21.1,51,0.7083333333333334
1629012,Collin Sexton,1610612739,CLE,Cleveland Cavaliers,20.8,65,1.0
203915,Spencer Dinwiddie,1610612751,BKN,Brooklyn Nets,20.6,64,0.8888888888888888
203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,19.9,73,1.0
202710,Jimmy Butler,1610612748,MIA,Miami Heat,19.9,58,0.7945205479452054
203933,T.J. Warren,1610612754,IND,Indiana Pacers,19.8,67,0.9178082191780822
202696,Nikola Vucevic,1610612753,ORL,Orlando Magic,19.6,62,0.8493150684931506
203944,Julius Randle,1610612752,NYK,New York Knicks,19.5,64,0.9696969696969697
1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,19.0,70,0.9722222222222222
1628984,Devonte' Graham,1610612766,CHA,Charlotte Hornets,18.2,63,0.9692307692307692
201565,Derrick Rose,1610612765,DET,Detroit Pistons,18.1,50,0.7575757575757576
1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,17.8,67,0.9178082191780822
